#{"t_start": 1648051044.8506536, "env_id": null}
r,l,t
-53,53,4.926772
-40,40,4.928862
-58,58,4.931922
-3,3,4.93236
-162,162,4.943343
-599,200,4.953029
-93,93,4.957601
-5,5,4.957999
-114,114,4.96373
-11,11,4.964432
-189,189,4.973696
-104,104,4.978788
-36,36,4.98074
-15,15,4.98182
-16,16,4.982836
-29,29,4.984414
-112,112,4.989976
-28,28,4.991542
-84,84,4.99783
-73,73,5.00162
-19,19,5.002727
-18,18,5.003795
-35,35,5.005615
-88,88,5.010041
-16,16,5.01104
-82,82,5.015198
-16,16,5.01616
-47,47,5.018632
-55,55,5.021473
-93,93,5.026058
-98,98,5.030958
-11,11,5.031692
-28,28,5.033278
-49,49,5.035965
-42,42,5.038173
-46,46,5.04054
-599,200,5.052421
-79,79,5.056415
-27,27,5.057851
-3,3,5.058199
-61,61,5.061252
-599,200,5.070757
-74,74,5.074562
-23,23,5.075944
-33,33,5.077686
-4,4,5.078028
-2,2,5.078277
-33,33,5.080031
-29,29,5.081643
-599,200,5.091269
-599,200,5.102871
-16,16,5.103932
-119,119,5.10969
-9,9,5.110448
-43,43,5.112682
-10,10,5.113339
-44,44,5.115694
-26,26,5.117069
-599,200,5.12664
-64,64,5.129823
-599,200,5.139308
-2,2,5.139606
-13,13,5.140404
-9,9,5.141153
-116,116,5.146853
-599,200,5.158529
-34,34,5.160345
-22,22,5.161587
-103,103,5.166706
-82,82,5.170738
-190,190,5.179956
-140,140,5.186857
-104,105,5.192025
-66,66,5.195569
-88,88,5.199899
-143,143,5.209042
-18,18,5.210097
-45,45,5.212379
-45,45,5.214729
-68,68,5.218141
-7,7,5.21863
-79,79,5.222574
-31,31,5.224224
-41,41,5.22653
-18,18,5.227578
-56,56,5.230456
-11,11,5.231159
-25,25,5.232567
-7,7,5.233076
-53,53,5.235771
-599,200,5.24522
-69,69,5.248792
-32,32,5.250533
-42,42,5.252902
-6,6,5.253343
-89,89,5.259928
-22,22,5.261183
-23,23,5.262518
-75,75,5.266189
-31,31,5.267921
-22,22,5.269126
-100,100,5.274054
-50,50,5.276597
-17,17,5.277772
-17,17,5.278769
-47,47,5.281166
-4,4,5.281528
-21,21,5.282725
-7,7,5.28326
-9,9,5.283865
-16,16,5.284772
-4,4,5.285151
-39,39,5.28719
-5,5,5.28775
-125,125,5.293891
-8,8,5.294426
-9,9,5.295023
-7,7,5.295542
-91,91,5.300013
-6,6,5.300498
-599,200,5.310258
-23,23,5.313761
-40,40,5.315878
-35,35,5.317876
-7,7,5.318453
-5,5,5.318885
-599,200,5.328428
-55,55,5.331184
-96,96,5.335969
-56,56,5.338807
-81,81,5.342845
-6,6,5.343344
-81,81,5.347304
-4,4,5.347824
-48,48,5.350298
-15,15,5.351208
-75,75,5.354949
-44,44,5.357235
-167,167,5.367402
-39,39,5.369586
-14,14,5.370455
-18,18,5.3715
-17,17,5.372486
-40,40,5.374737
-118,118,5.380503
-37,37,5.382443
-66,66,5.385825
-166,166,5.393931
-87,87,5.398231
-145,145,5.4054
-22,22,5.406621
-24,24,5.407967
-33,33,5.409693
-63,63,5.413043
-139,139,5.421974
-20,20,5.423205
-19,19,5.424348
-31,31,5.425989
-85,85,5.430188
-12,12,5.430998
-14,14,5.431836
-195,195,5.441542
-6,6,5.441978
-16,16,5.44308
-2,2,5.44335
-9,9,5.443966
-75,75,5.447768
-34,34,5.449556
-65,65,5.452886
-37,37,5.454866
-12,12,5.455596
-11,11,5.456334
-29,29,5.457872
-101,101,5.462992
-36,36,5.464921
-51,51,5.467599
-16,16,5.468663
-599,200,5.481328
-13,13,5.482233
-12,12,5.483002
-54,54,5.485828
-8,8,5.486388
-14,14,5.487238
-21,21,5.488563
-14,14,5.489381
-6,6,5.489861
-101,101,5.494892
-30,30,5.496486
-54,54,5.49936
-17,17,5.50037
-15,15,5.501287
-172,172,5.509639
-29,29,5.511227
-18,18,5.512412
-29,29,5.514201
-157,157,5.522985
-12,12,5.523761
-131,131,5.532377
-599,200,5.54186
-192,192,5.551127
-107,107,5.556348
-15,15,5.557274
-599,200,5.566743
-8,8,5.567458
-12,12,5.568192
-599,200,5.578751
-45,45,5.583348
-36,36,5.585274
-5,5,5.585714
-13,13,5.58651
-60,60,5.589517
-78,78,5.59337
-4,4,5.593723
-14,14,5.594705
-65,65,5.597991
-12,12,5.59877
-8,8,5.599336
-5,5,5.599724
-599,200,5.609226
-13,13,5.610061
-8,8,5.610636
-40,40,5.612741
-42,42,5.614972
-55,55,5.617886
-599,200,5.627432
-10,10,5.628121
-13,13,5.628938
-599,200,5.640715
-20,20,5.641852
-151,151,5.649214
-12,12,5.649956
-39,39,5.651943
-3,3,5.652247
-108,108,5.657717
-75,75,5.661516
-15,15,5.662431
-38,38,5.66449
-44,44,5.666796
-102,102,5.671781
-113,113,5.677425
-599,200,5.689675
-4,4,5.690055
-10,10,5.690721
-53,53,5.693483
-3,3,5.693849
-101,101,5.69891
-37,37,5.70083
